,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
297,80,0.0,3766,10.914685454998107,"[1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 1, 0, 2]",100,80,46
298,0,0.0,3766,10.986733703997743,"[1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 2, 0, 2, 1]",100,80,47
299,80,0.0,3846,11.26812131099723,"[1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 2, 0, 2, 1]",100,80,47
300,0,0.0,3846,11.338440691997675,"[0, 2, 0, 0, 2, 0, 0, 2, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 2, 1, 2, 0, 2, 0, 1, 0, 1, 1, 0]",100,80,48
301,80,0.0,3926,11.632433791997755,"[0, 2, 0, 0, 2, 0, 0, 2, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 2, 1, 2, 0, 2, 0, 1, 0, 1, 1, 0]",100,80,48
302,0,0.0,3926,11.707549521997862,"[2, 0, 0, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 0, 2, 0, 1, 2, 1, 1, 1, 1, 1, 2, 0, 2, 2, 2, 2, 0, 2, 1, 2, 2, 0, 0, 1, 2, 2, 2, 1, 0, 1]",100,80,49
303,80,0.0,4006,12.002647590998095,"[2, 0, 0, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 0, 2, 0, 1, 2, 1, 1, 1, 1, 1, 2, 0, 2, 2, 2, 2, 0, 2, 1, 2, 2, 0, 0, 1, 2, 2, 2, 1, 0, 1]",100,80,49
304,0,0.0,4006,12.076492648000567,"[1, 0, 1, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 0, 0, 1, 1, 2, 0, 1, 0, 2, 1]",100,80,50
305,80,0.0,4086,12.383947135997005,"[1, 0, 1, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 0, 0, 1, 1, 2, 0, 1, 0, 2, 1]",100,80,50
306,0,0.0,4086,12.458996541998204,"[1, 2, 0, 0, 2, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 2, 2, 2, 2, 2, 1, 2, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 0, 1, 0, 2]",100,80,51
307,80,0.0,4166,12.765337044998887,"[1, 2, 0, 0, 2, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 2, 2, 2, 2, 2, 1, 2, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 0, 1, 0, 2]",100,80,51
308,0,0.0,4166,12.841598531998898,"[2, 0, 2, 1, 2, 0, 2, 2, 0, 0, 2, 2, 1, 0, 2, 0, 1, 2, 2, 2, 0, 1, 0, 2, 1, 2, 2, 0, 2, 1, 2, 2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 1, 2, 1]",100,80,52
309,80,0.0,4246,13.157833785000548,"[2, 0, 2, 1, 2, 0, 2, 2, 0, 0, 2, 2, 1, 0, 2, 0, 1, 2, 2, 2, 0, 1, 0, 2, 1, 2, 2, 0, 2, 1, 2, 2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 1, 2, 1]",100,80,52
310,0,0.0,4246,13.234938549998333,"[1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 2, 0, 1, 1, 2, 2, 1, 1, 0, 1, 1, 2, 1, 2, 1]",100,80,53
311,80,0.0,4326,13.553015452998807,"[1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 2, 0, 1, 1, 2, 2, 1, 1, 0, 1, 1, 2, 1, 2, 1]",100,80,53
